codigo_inep,nome_escola,codigo_ibge,latitude,longitude,tem_rampa,tem_banheiro_pcd,acesso_total
25033158,EMEIF MAE IAIA,2500106,-7.513369182,-37.63800206,True,True,True
25033204,ECI JOSE NOMINANDO,2500106,-7.516552932,-37.63704113,True,True,False
25033301,EMEF GUALTERINA ALENCAR VIDAL,2500106,-7.4751027,-37.6990299,False,False,False
25033352,EMEF JOSE BATISTA DIAS,2500106,-7.53291931,-37.68181085,False,False,False
25033395,EMEF MANOEL VICENTE LEITE,2500106,-7.3998051,-37.6680765,False,False,False
25033425,EMEF SEVERINO FIRMINO DE SANTANA,2500106,-7.492402,-37.5949749,True,False,True
25033433,EMEF INOCENCIO SALES,2500106,-7.491909012,-37.64558201,False,False,False
25033476,EMEF ANDRE ALVES DO NASCIMENTO,2500106,-7.5091818,-37.6803082,True,False,True
25033514,EMEF JOSE GOMES DE SALES,2500106,-7.4354702,-37.6551403,True,False,True
25033522,EMEF ANISIO BARBOSA DE SOUZA,2500106,-7.3852309,-37.6812613,False,False,False
25033549,EMEF AUGUSTO DOS ANJOS,2500106,-7.588269,-37.737226,True,False,True
25033557,EMEIF DELFINO JOSE DOS SANTOS,2500106,-7.4318906,-37.6283386,True,True,True
25033565,EMEF FRANCISCO ALVES DA SILVA,2500106,-7.559866874,-37.74248876,False,False,False
25033573,EMEF FRANCISCO LOPES DA SILVA,2500106,-7.4616479,-37.5769661,True,False,True
25033654,EMEF MANOEL GONCALVES DE MOURA,2500106,-7.523557859,-37.6690176,True,False,True
25033670,EMEF ANTONIO VIRGOLINO BATISTA,2500106,-7.51393225,-37.63787107,True,True,True
25104969,EMEIF MARIA DE LOURDES GUILHERME,2500106,-7.43182476,-37.69901654,True,False,True
25105515,EMEF JOAQUIM MINERVINO DE SOUSA,2500106,-7.482851,-37.6656537,False,False,True
25126989,CRECHE MARIA JOSE BARBOSA DE OLIVEIRA - DONA ZEZE,2500106,-7.5162411,-37.6345669,True,True,True
25178806,EMEF TIAGO DE OLIVEIRA LIMA,2500106,-7.499322065,-37.68701859,True,False,True
25023489,ECI EEM AGENOR MENDES PEDROSA,2500205,-7.097710907,-38.17083777,True,False,False
25023535,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL LIDIA CABRAL DE SOUSA,2500205,-7.09063148,-38.17081923,False,True,True
25023578,EMEF JOANA LACERDA LEITE,2500205,-7.093339,-38.17155,True,True,False
25023705,EMEF AMELIA ARANTES LEITE,2500205,-7.094628233,-38.16604878,True,True,False
25023772,EMEF DOZINHA BENTO,2500205,-7.09344103,-38.17127735,False,False,False
25128930,EMEIEF ADVOGADO HORACIO RAMALHO,2500205,-7.10338839,-38.2691514,True,True,False
25160800,CRECHE MUNICIPAL FRANCISCO CIRINO LOPES,2500205,-7.09458895,-38.16576672,True,True,True
